Rating,Review Title
1,From a good show to the most boring thing I have ever seen
10,Thumbs up for season 2 - season 3 = awesome
10,The superhero series that I didn't know I needed and now can't wait for S2
10,Original and nearly perfect
10,"Just WOW, and keep the writters"
10,Unexpectedly unique and massively entertaining
10,Just the second scene broke my heart... imagine the rest... One of the 5 best shows ever.. Masterpiece
9,"Superheroes Gone Bad, Been tried before, Never this Well"
6,Diminishing returns
1,I'm Out
8,Season 2!!
8,"Great show, lost itself a bit."
8,Comedy? Dark Comedy? ....... Maybe
10,SO GOOOOOOOOOOOD!!!!!!
6,Season 2 is not a TV show but a political TV ad
5,Beyond unnecessary graphic content make it unpleasant
10,What the heck is this??!
10,About damn time.
10,Unexpected Twist
10,Don't believe the haters!
10,10 stars is not enough!!
8,"A super hero series that smashes every Disney, D.C. and Marvel fanatic's most precious fantasies"
10,ITS NOT WOKE
9,In a world where superheroes have become a corrupt capitalist corporate entity...
7,Season 1 is a 9/10. Season 2 is a 6/10.
10,One of my favourite series!
10,Best show I've ever seen.
10,Excellent!!! Must watch
9,Better then some Hollywood movies
8,Butcher and his accent
10,WOW!
10,Pretty much one of the best shows I'd ever watched!
6,Season-1 was really good. Season-2 is going downhill really quick
10,Cure from Marvel hangover
8,Jensen Ackles as Soldier Boy saves season 3
10,One of the best shows on amazon right now
10,Best superhero series ever
9,"Well well well, that was just a tad diabolical!"
10,Hey Seth! Hey Evan! Let Garth Ennis write you a script for a Sgt Rock show.
9,"So good, especially the ending"
10,Wow! I did not see that coming!
9,Super hero's not so heroic the evil sons of B....
10,Mostly a great show...
8,Losing the spark
9,Excellent counter programming to traditional superhero tales
10,The best and most badass Superhero series there is.
9,Watch it NOW...!!!
9,"Wasn't expecting much, but what a pleasant surprise!"
10,FAB
1,What happened?!?
10,A Great and provocative series that does not play it safe
10,The Boys is easily by far better than those lame superhero dramas in Netflix
8,Near-perfect grown-up escapism
8,Excellent
9,"Damn, This is the best show I have ever watched"
10,An incredibly engaing story.
9,Sick of samey Marvel rubbish? Watch this!
10,So much fun
10,Thank the LAWD a good show is here!
8,An intense gorefest that leaves you wanting more
8,The Best from Amazon prime
10,Karl Urban is incredible.
10,Awesome.
9,"Fantastic, well written, not cardboard characters"
7,The problem with Homelander
2,It wants to be different but it's exactly the same
10,The Boys is something new in an otherwise stagnant genre
8,Great Show with a few Minor Issues
10,Hate the MCU and this was the hit of the summer.
10,This is what adults want to see in super heroes
10,Must watch/ so F$(key up!
10,AMAZING !!!! Marvel should watch out after this
10,Simply perfect
7,Would have rated higher but series 2 is...
5,The Boys - A Season (4) of Unmet Expectations
10,Perfection
10,A Winner
9,Brilliant
9,Mother's Milk
10,This show has so much promise
10,Brilliant
6,"First season was awesome, second season is garbage"
8,Hillarious!
8,Realism
9,Not the superheroes you think they are...
10,Best superhero related show
8,Another show ruined pushing the liberal agenda
10,So far so great.
7,Well made but not entirely engaging
9,Super !
10,"Very, I mean, very good."
9,I can't watch a superhero movie and feel the same again...
10,Just Great
9,Up there with Marvel
9,Graphic fun at its best!
9,Brilliant
6,Each season worse than the one which preceded it
5,Notice all the good ratings are from when season 1 came out
9,Surprising
8,Great entertainment.
8,"Could be better with the idea, story and actors they have"
9,Fabulous
8,Nicely done but far from the graphic novel
8,The Boys
8,Recommend watching for 18 years old & above
8,Fantasy with a dose of reality 8/10
7,Getting worse
2,The Tale of Two Halves
9,Great show
9,Good idea
8,Urban back to his Dredd best in this Anti-superhero twister
9,Must see!
10,"Brilliant show, led by Karl ""Dick Van Dyke"" Urban"
9,"Interesting premise, very exiting."
9,Superpowers corrupt
6,Started out with a bang but fizzled out...
8,Great show!
9,Not everything is black and white
9,"Brutal, satirical fun"
9,This show will really grab you
9,Dark hero stuff at its best
9,UNEXPECTEDLY REALLY GOOD!!!
6,From 9 to 6 stars. Here is why...
2,Season 4 has gone downhill
N/A,Brilliant take on superheroes
10,Never meet your heroes
10,Unmissable
9,"So Hilarious and Fun - Love it, Love it, Love it"
10,superb
10,"Initially a Cynic, this Show won me Over Quickly"
10,Wow
9,Great show
9,Fresh dark twist on a genre that's getting old
6,Sophomore slump
10,Must watch!! Game of Thrones quality level
10,Absolutely Loved it!!
9,Real life heroes
10,Move over marvel
10,Diabolical Dicing of Detachable Limbs.
9,Finally not a usual superhero story - LIKE
10,10 stars without thinking.
7,Karl Urban
1,Horribly nasty for no reason.
10,Relevant without being woke.
10,True greatness
9,Binged in 2 days
10,ARE YOU BORED from all the super Hero crap
9,A breath of fresh air after all of the Marvel nonsense
10,Good
10,blew the bloody doors off
6,Season 2
3,Weird depravity
10,BUTCHER is Best in this series
9,Brilliant
9,Quirky in a very good way
10,Just the way it would be in real world
10,Pretty freakin good
10,Einfach GENIAL
10,Best show of the year!
10,Great!!!
7,"Nine stars for seasons 1-3, seven stars for season 4"
10,"oh BOYS,did they nail it !"
9,"Funny, mature, entertaining, refreshing."
10,A different but equally incredibly story to the one in the comic
10,The most entertaining show on TV!
10,Season 3's 6th Episode......
9,The other side of superheroes
10,Great show!
10,Better than Expected (I expected it to be pretty good!)
7,"Good, but not 8+ Rating"
9,Fantastically Different
10,Formidable attack on Netflix from Amazon
9,One of the best shows
10,Awesome answer to all the awful hero films out there.
10,So much there to be discussed and learned
10,Hell yes
N/A,Starts out strong but the writing suffers in the long run
10,Easily one of the best series this summer
2,"Decline, and some more decline..."
10,Another hit show from Amazon
10,Best super hero show by a long shot
10,"Brilliant, dark, addictive"
8,"Great show, dumb producers"
10,Never pulls a single punch... purely dynamite
10,Corrupted superheros...
9,The worst thing about this series is the name but all else is pretty damn enjoyable.
8,Fun show
6,"Not the Super Hero story we need, but the Super Hero story we want."
4,Season 4 is a Mess
9,Start hiring Anthony Star
10,Wow. Superhero shows please take notes.
10,Finding a diamond in a trashbin of superheroes series era
9,Binge this if you haven't. ASAP!
10,I've watched the most realistic superheroes ever
9,Unique take on the Superhero genre that keeps you hooked
9,So twisted
8,intriguing twist on a classic theme
6,S1 is Good S2 is decent
2,Season 4
8,The second season is becoming so much drag....
10,Amazing
10,Perfect amount of fantastical and dark
N/A,"Starts off great, bait'n'switch towards the end..."
10,Super Awesome! And defo NOT safe for kids!
9,"Not One Of, but THE Best Superhero Show on TV Right Now and Probably Ever"
10,Best show this year (apart from Tjernobyl....ofc!)
7,Fantastic Series with A Preposterous Ending
5,Got boring from the last portion of season 3
10,Watch it!!!!
10,Great show
10,Binge watching
10,"Perfect just perfect ""The Boys"""
10,Insanely good
10,Wow .... amazing
10,Not all things are Marvel and DC
10,Amazing
7,Dropping off fast!
2,"Started off great, now beating a dead horse."
9,"Complex, disturbing and satirical. Two thumbs up."
10,Epic moment
10,Excellent plot
10,Worth the watch
9,What a great spin on the superhero tale
10,Simple...
10,Interesting take on the superhero genre with a dark tone
10,Breath of fresh air to a dying genre
6,Excellent take on superheroes ruined by the last episode of season 3
2,It started out great but...
9,A masterpiece
8,"Sometimes topical, but not obnoxious"
10,Satire at its Finest
9,Loved it
9,A Stellar First Season of Superhero Gruesomeness
10,Totally wicked
9,"very different form the comic, but impressive nonetheless"
6,Go woke go broke
10,"Brilliant, but..."
10,Amazing! Just superb.
9,WOW!!! Unexpectedly good!!!!!
9,adult content superheroes
10,Excellent
10,A season 2 review !!
9,"It's lewd, crude, and over the top... and I loved it!!!!"
9,Marvel and DC better watch their backs
4,Downgraded Review for S4
10,Must watch
10,Amazing show where the superhero's are the villains
9,I hate superheroes
10,A unique and amazingly absurd masterpiece of a show
10,"Just amazing writing and execution, with a unique maturespin on the overused superhero genre"
8,watched 2 seasons so far
9,Great Show!
8,Season 2 may be less superior than the first but delivers more on the wild action.
6,"Strong start, Weak Ending"
1,Smut of the century
10,Fan * tasmic
10,Epic
10,Fantastic show #savethedolphins
10,Great Ideas about the Reality of Superheros
9,Fantastic
10,Awesome
9,Great picture
6,Stop Watching after season 1
10,The Real Superhero Series!
8,Brilliant take on how superheroes would really behave
9,Whip smart and very funny
9,"At last, a bunch of badasses, Superheros"
9,Super
10,"All you need is Marvel, DC & The Boys."
9,Brutal
10,A MUST WATCH!!
7,Season 2 blows
1,Would be nice to watch tv again without the politics
9,The best series of this year so far....
8,Great & different take on superheroes
10,BEST of the BEST
9,Not Your Average Superhero Series ...
9,A wild roller coaster ride with unexpected twists
10,The best adaptation of the comics
9,Very original take on the superheroes
9,What a great story...!!
7,This show is going nowhere
9,Some next superhero s@#t right here!
9,"Like Superhero shows? Watch it. Hate superhero shows? Watch it! Either way, WHY ARE YOU NOT WATCHING IT YET?!?"
10,diabolically awesome
10,Excellent implementation of a fantastic idea!
10,A flower in a desert of mundane series
8,Interesting addition to the super hero genre
8,great show and cast
7,"Great show, lots of fun, ruined by politics"
9,Loved it
8,solid comicbook
8,Very good tv show
9,Awesome show
8,It's Different
9,Great adaptation of a great comic.
10,Worth watching .
8,The Boys S1
7,"Very good, but you can feel the political agenda being forced."
9,"One of the most entertaining TV series around, at the moment"
8,What would really happen....
8,Not just another superhero show
10,Absolutely addictive!
10,Masterpiece. Do NOT hesitate to watch!
10,A mate it was F awesome
10,What a series should be
6,season one
N/A,Exactly as I feared - a huge disappointment
9,Nearly perfect in every way
9,Disturbingly fascinating
9,Superb writing
10,Very entertaining
10,Great Anti Marvel series
10,Amazing
8,When Super Heroes gets Corporate Tag.......Corruption is Inevitable
10,Wow
6,Boring Second season
10,Just brilliant!!
10,Different perspective
9,Dark and amazing
8,Amazing in every aspect !
9,Absolutely amazing
9,Dark violent bloody superheros
7,Good but not great....
1,Fourth season ruined the series
9,Stop what you're doing and watch this ASAP
10,Best series ever
10,A modern Greek tragedy unfolds beyond the parody
10,So glad that I watched it.
10,Good anti super hero series
N/A,"For All Those Who Hate SuperHero Movies/Shows Like Me, ""You Will Fall In Love"""
10,ANTONY STARR NEEDS AN EMMY !!!!!!!!
10,A breath of fresh air.
10,A comic written like a Shakespearean tragedy
7,Getting disappointed with season 2
10,X-men exposed
10,"How much do you want to bet that when ""The Boys"" returns, that it's all about the girls"
10,Best new show seen in a while
10,Amazing
9,Dark & funny
9,Homelander
9,This was surprisingly REALLY good!
10,I would be a stupid one if I do not call it diabolical.
6,Love Season 1. Season 2 not so much
9,Finely written..
10,Outstanding
10,Brilliant
10,Just pure brilliant
10,There's nothing like it
10,Every single scene is amazing
10,3rd season
10,"okay, what the hell!"
7,Great Season 1; Disintegrating Season 2
5,Awesome season 1-3. Season 4 is a Yawnfest
9,hooked
9,I love it
9,I had low expectations...
10,Great
10,The dark side of Superheroes...
10,Can't believe how great this show is!
10,Made a fan out of me...
8,A Snarky Take on Superhero Satire
7,A great start which falls flat in second season
1,Gore and Porno
8,I Was Wrong About This Show. New Review With Original Underneath.
10,Mind-Blowing Supes
10,"True to comics, strikingly awstrucking,funny"
10,Where TF is SEASON 2
10,Best TV show I've ever seen
10,A humorous and realistic take on superheroes
10,Amazoning (Amazing Amazon)
10,So Good
6,Excellent
1,"S1-3 awesome, S4 lazy"
10,Best superhero show
9,"A Near Perfect "" Supes "" Show"
10,Easily the best thing on television
10,A Unique Show
10,The best superhero show we've had.
10,More than just superhero CGI
N/A,Step aside MCU there is a new sherif in town.
10,It ain't about superheroes
6,Had so much potential
10,Very good
10,An absolutely masterpiece
10,Constantly Delivers
10,Better than stranger things!
10,Refreshing
10,Real Surprise
10,Best show I've watched since Breaking Bad
10,Amazing
4,Season 3 Review
10,Refreshing take on the superhero universe.
10,First 60s better ...
10,A Refreshing Take on the Superhero Genre
N/A,A Very different Take on Superheros
9,The Opposite of Diabolical
10,"Ma, i found the right one...."
10,WOW!
10,Refreshing take on the Superhero genre to a near perfect result!
10,One to the Best Series
6,"the show's ""hair-on-fire"" mentality isn't enough for me"
5,"10 for season 1, 5 for season 2"
10,"Very Dark, Not for Kids, and Awesome"
10,So good!
9,Just brilliant
9,An amazing experience
10,Just awesome
9,People really give out ratings based on one ep here
10,Brilliant show!
10,Pretty entertaining
9,Never written a review until now...
10,Best superhero series ever made!!
9,Awesome show
9,This show is amazing. And..dark
9,The time for Anti-Superheroes!
10,Brilliant Storyline
6,Good
9,"Shock and Awe, but with a Purpose"
10,My favourite line from the Show
8,1 star less because of hughie
10,Superb
9,Brutal comics are alive
9,Very watchable
10,This show is Brilliant!
10,wow...
7,"Early steps, room to grow, but nothing spectacular"
8,Amazing
10,"Season 1- Fun, and easy to watch, but a bit messy. Season 2- Bloody Brilliant"
10,This is a must see!!
10,Beyond Brilliant!
9,Inspirational and socially redeeming!
10,STUNNED!
10,Best thing on TV right now.
9,"Great anti superhero series, really clever and highly addictive"
2,"One of, if not the best TV series of the year"
9,it has a target audience and for that audience it is amazing.
10,Best Show on Prime
10,By far the best series at the minute
9,Unapologetically wrong
10,Amazing series that captures the not-so-pretty side of heroism
10,A must-see
10,Perfect
10,The Hero America Needs: Antony Starr
10,Very good show
10,I'm in love
10,This show keeps getting better.
9,The series is amazing! Erin Moriarty (Starlight) is beginning to look like Joan Rivers.
10,Our society is pathetic
10,Love the show
9,"Season 2, ep 1-3 kicks off pretty dark"
10,Totally blown away!
6,"It's just another comic book show, trying very hard to be edgy"
10,Best superhero series yet
9,Must-Watch!!!!!
10,The fact the got Simon Pegg
8,hell yes
N/A,"Solid 1st season, sloppy 2nd season, garbage by the 3rd season"
10,Best show I've seen this year.
10,A Whole New Take on Super Heroes
10,Much better than you could expect
10,Amazing
1,Relies purely on shock
8,A new perspective
9,"The Boys - A Messy, Intoxicating Masterpiece"
10,Nearly flawless
10,I was sick tired of super heroes until I see The Boys
10,2 very different seasons
10,AMAZING!!!!!
10,Everything one want in a show.
7,A fresh (overrated) show
3,"The envelope has been pushed, stomped, shredded and napalmed."
10,Are you tired of superhero fairytales? This is your antidote for all that boring unrealistic realms.
8,The plot is weak
10,"Thrilling, action packed and dark serie"
10,Loved it didn't want it to end
10,This is not like any other super-hero show ever
8,People really misinterpreting this show
10,Don't let your young kids watch this
10,Perfect Balance
6,Brilliant premise but bad development
10,This show is one hell of a ride.
9,AMAZING!!!!!!!!!!!
10,Really new and fresh content!
8,If the first episode doesn't hook you then idk
10,Marvel too much?Then the Boys is for you
8,The best political superhero series
10,Amazing superheroes series like no other!
4,Get woke....
10,A very welcome change of pace.
10,Brilliantly Entertaining
9,Based (sunglasses emoji)
9,Really entertaining.
10,FINALLY!! Something done so right.
9,What would be a man if he had some superpowers.
9,Top notch geezas!
6,Was good
10,"In a world full of incoherent shows, be THE BOYS"
10,Can't wait for season five
9,Ignore the hate on season 2
8,A complete and utter blast!
9,Like nothing I've ever seen!
9,A must watch if you like superhero movies
10,Awesome
10,Fantastic
6,Love it.. but seriously??
10,Absolute class!!
8,An updated love child of 'The Watchmen' and 'Misfits'
8,Anti super-hero twist with gore!
10,Top top top TOP quality Televison
9,Worthy of a Binge
9,As realistic as you can come to a real life superhero company
9,Fresh new take on the Superhero genre
7,Started great but like most shows the writing ruins it
8,A slow moving but bold satire
10,It's even for the faint of heart
10,Better than your typical superhero flick
10,Absolutely Marvellous
10,What makes this show great is.....
10,Holy Cow!!!
10,I wanna give this show 20 stars
10,Eric kripke is a genius who delivers
7,Best series on prime
8,"Gritty and well written, with a quirky humour"
10,Awesome
10,Show is getting better and better!
10,Love it so far.
10,X-men: Am I joke to you? - The Boys: Yes you are.
9,Idk why I just dnt give this 10
10,Season 3 just made this series legendary!
N/A,Great show but stop with the weekly release schedule
10,"Wild, Bad and Cruel"
7,Well done in its glum way
2,Painfull to watch
N/A,Season 2
10,Best show out right now
9,"Watch it, you won't regret it"
10,This show is absolutely amazing.
10,INCREDIBLE
10,"Great cast, Great acting, great plot and great script"
10,OMG! Not for the faint of heart or children
10,Amazing. Best new show
7,The rich get richer.
9,WOW ! ! ! ! !
9,"If you only watch this show to see Karl Urban (rarely) exclaim ""Diabolical!"", it's worth it."
10,Best TV Show Prime has ever done
10,This is my favorite webseries 10/10
10,A surprisingly good one!
9,Amazing!
8,At first I thought it's a 10/10 but it's probably closer to an 8
10,THE BOYS
7,A Rollercoaster of Chaos and Satire
1,"Good lot, terrible delivery"
9,Absolute bonkers of a show.
10,The PERFECT Superhero show...
9,Diabolical
10,best there is.. season 3
10,The emmys are rigged !
10,Good
10,Great Adaptation of my favourite comics 👍
10,New Concept
7,Transitioned to mediocre series
3,HORRIBLE SEASON 4 RUINED A GOOD SHOW
N/A,If you like Deadpool this is the show for you.
9,Truly one of the best TV series of recent years
10,Wow just wow!
10,Everything is great
10,RAW
10,Dark anti-hero binge worthy series
10,A Masterpiece
7,It surprised me...turns out to be a decent watch
10,Effing Brilliant
10,Wowsers
10,What cam I say just Wow
10,"It gets worse every season, but there is still hope for a decent ending!"
10,When's season 2 out?
9,This is how the world and America would be if superheros were real
8,Fresh
10,Really spectacular and enjoyable
7,Review season 1-3
10,"Slick, funny, bizarre and pure WTF"
9,Sooo good!!!
8,No HARDCODED subs
8,Refreshing Super Hero Show
10,Highly appreciated series
9,Great superhero parody
10,Brilliant!
9,A excellent change of pace
6,One of the best shows in the last 10 years.
2,Turned into a mess it once used to make fun of.
9,A really enjoyable series
10,An unexpected treat
8,The darkness of this superhero show is that it's the more than likely reality.
10,This is how you stick to the source material yet make it anew...
9,SEASON 1 - Why Is This Show So Damn Good??
9,An upside-down world when superheroes become enemies
8,For everyone that do not digest Marvel's pulp
10,"Even if you aren't a huge superhero fan, you may like this."
7,Could've been Super.
1,The shark has been jumped.
10,Fantastic
9,Disgusting but refreshing!
10,YOU WONT GET BETTER
10,Mindblowing!!!
9,"Dark , dashing , diabolical !"
9,Awesome
1,Bad bad bad bad
9,Amazing
10,Unbelievable good
10,If Real People Were Sups
8,"For anyone who hates influencers, big corporations and celebrities"
9,Awesome to watch
9,"Dark, comedy,mature and immature at the same time."
10,See this series!
6,Nothing special
4,Boring
10,Best superhero movie
10,Spectacular
10,Best take on superheroes I have ever seen
10,Best ever
9,Absolutely bang on!!
10,SUPES!
10,So good
7,What they have done after 10/10 first seasion???
5,Meh second season so far
10,Best
10,Fantastic and very entertaining
8,Nice but not that nice
9,The Boys: 9
8,A Full package
10,Non pareleli
10,Not your typical superhero show
9,Refreshing change to the genre
10,I'm not really fond of the title but...
9,Original show!
9,Good fun
10,Fresh and unique
10,Surprisingly good
9,Nailed it
10,Unexpected show
7,Mediocre
9,No series is ever like it. You will be surprise.
10,The greatest comic book show.....
9,Best Amazon Original
8,Worth watch
10,Everything I ever wanted
9,"Powerfull, unexpected, surprising"
7,Cool
10,Just Fucking Awesome
10,Hardcore Body Glooping
10,The Boys - A Image of our reality
10,Amazing
10,Redesigns our idea of superheroes
9,Great loved the whole series
9,Must see show
10,Bravo!!
10,This would be reality
10,Love it!
8,First season strikes the best balance for existing and new fans
N/A,Bring it.
10,1/10 for Writer and Actor Hypocrisy
9,Season 2 as good as the first so far
9,Middle finger to marvel wokeness
10,May disappoint if you're a fan of the comics
10,Not even finished the 1st episode
6,Taking their foot and shoving their politics down your throat
4,3rd season ruined it.
8,if you want somewhat realistic story so this series is for you......
10,About time!
10,"Very, very good!"
8,Weekly release is killing the good show!
10,A masterpiece.
10,A superhero series that easily surpasses majority of Marvel and DC movies
10,Must watch....!!
6,"A decent show(1st season, dunno S2) with political overtones."
9,"Dark humor, superheroes and carnage."
9,Pretty awesome series
9,"Probably the best ""superhero"" show I've seen"
10,SUPERB
9,The Boys is very well thought out series and is incredibly executed in all of its seasons
9,Reality if the World
10,This is what a show should be with people with super powers
10,Amazing!!
7,Episode 7 season 2 was too much
2,Karl Urban makes this series.
10,A breath of fresh air
10,Never meet your heroes
9,One of the best web series on superhero genre I've seen.
9,An Insane Super-world
10,Best show I've seen so far
10,"Starting to think that ""tv-shows"" are becoming superior to movies"
10,Most satisfying comic book series ever
7,Season 2 sux
9,The Boys remains one of the best superhero TV shows
10,Love it
9,An absolute breath of fresh air from a genre marvel has made mediocre.
10,I wish I could forget everything...
9,Heading in the right direction
9,"Funny, super heroes with flaws"
10,Top Tier
6,"Former freethinking series, gradually turns more and more ideological and into the very thing they start out criticising."
3,"Superficial message delivery, ""cool"" violence"
10,Great show
10,Superb
10,"Action-packed, Humourous and Fun!"
9,Satirically unhinged and I love it
10,Best Superhero TV Show
10,Briljant!
10,"I was a bit sceptic at first, but I was in for a surprise!"
6,Entertaining but very average
3,Season 2 very slow/ boring
9,The trailers don't do it justice
10,Awesome new show !!!!
8,All around fun with a few issues here and there
8,Accents !
10,Brilliant. Twisted. Full of Surprises.
10,Amazing!
9,How to handle injustice league
10,10/10
6,Second season is uh lacking
10,"Insane, Intense, Off the Charts ,Badass Superhero Fun!"
10,A must see
10,just wow
10,A fresh start to a tired genre
10,One of the BEST shows on TV
10,A show worthy to rival GOT
9,Amazing story and vfx
9,Season 3 is amazing so far
7,"Season 1 is awesome, Season 2 is Trash!"
8,Worth watching
10,A Dark Take on the Superhero Genre
10,Diabolical
10,BRILLIANT
10,"Top, best show"
10,WTF
10,The boys the best
10,Brilliant
10,Best series in the superhero genre...ever!
10,Couldn't be more perfect
10,One of the BEST TV SHOWS EVER!
10,Legit
10,Love every second of this
7,Very entertaining
1,Unnecessary Grossness
10,Superhero show for those who dont like superheroes
10,Totally stunned
10,Came to see what Amazon Prime had. Left with a new fav show.
10,Super-enabled Concept
9,Forget the other superhero rubbish this is great
10,Brilliant
10,This show is amazing!
5,Unpopular opinion: Vastly overrated
10,Wow
10,Surprisingly good!!
10,"Smart, Comical, pushes boundaries"
10,Wow
8,Entertaining dark ant-hero romp
N/A,Not as impressed as most people
9,Superheroes in real life
8,What a good show
7,should have been a movie but with a better ending
1,Morally depraved
8,Graphic comic book series!!!!!
9,Great!
9,"An antidote, Perfect"
10,incredible superhero epos
8,Movies that reflect reality
10,Garth Ennis Done Right ✅!!!
10,"If I could give more stars, I would."
8,Good show
5,Can't see the story for the splatter.....
8,motive
9,Lives up to the hype
9,Power corrupts
10,Seriously good
9,I Am NOT A Marvel or Comic Guy
9,The Boys are back in town!
8,"If you're tired from little purple pony universe MCU... Watch this show, you will understand how superheroes series can be dark, gritty and gripping."
5,Meh
8,Not a superhero movie fan but this is good
9,Not your average superhero Dama!
8,True hero
8,Average until...
9,A must see
10,Quite simply the best thing I've ever watched
10,A MUST WATCH ..amazing different then marvel and dc movie. JUST AMAZING
8,Lots of cool ideas
8,Surprisingly good
8,Liked it
10,Better than I hoped
9,"A brand new genre. Save yourself, homelander is coming."
10,Amazing
8,BOYS
9,Unexpectedly good superhero TV show
10,Master piece!
7,"I think it's very overrated. But I do find it entertaining, which is good enough, I guess."
4,not so good anymore
9,Superheroes suck!
10,Superb
10,Awesome!
10,Best show decade period.
8,The Boys
10,Peak writing
10,S:1 E1-8 Surprisingly Captivating
10,Much needed take on super heroes
3,S1 good - S2 complete waste
9,Can i have a selfie
8,A shock in hero's series
8,Super hero vs Real Hero
8,"A fun new bold take on superheroes, but unfortunately a victim to its own success"
8,"Finally a superhero movie that feels ""real"""
8,First Season was Boom Second season was Meh !!!
10,Was not expecting that !!! Amazing
7,My favorite super hero story to grace television
10,One of the best series this year.
9,cool series
8,Can't wait for season 2
N/A,it's been a while
8,Addicting to watch and A solid series.
8,Very unique superhero series
7,A Strong Start but Waning Momentum
N/A,A shining beacon in today's day and age..
9,Brilliant - highly entertaining
8,Supes can be nurds
9,Interesting take on the superhero genre
9,"Excellent, even with Karl Urban's attempt at a British accent"
9,Amazing show!
8,The genre-flip well needed.
9,Fantastic show
7,"Very good breakaway from the superhero trend of today, but quite tame, considering the source material."
5,Season 1 = AMAZING! Season 2 = MEH!!
N/A,Good
8,Karl is awesome
8,A Great Fourth Season
8,One of the greatest shows of all time
8,Just ok to me..
8,I liked it and cant wait for season 2 and 3
9,great but...
8,Worst cockney accent ever!
9,A great take on superhero's in a corrupt modern world!!
7,Good but Billy Butcher's British accent is unbearable !
4,"Season 1 great, season 2 not so"
9,Great show
9,Corporate Super Heros. What could go wrong.
9,Not your typical Superhero show
N/A,Great
10,Very interesting show
10,Arguably the best piece of cinematography of the last 5 years
10,The Boys: New Hope
